bfs_nr,commune_ofs,canton,join_key,premium_region,log_pop_density,pop_density_2024,is_urban,pct_hh_1p,pct_hh_2p,pct_hh_3p,pct_hh_4p,pct_hh_5p_plus,pct_large_hh,pct_small_hh,social_assistance_rate,social_assistance_count,avg_premium_2025,avg_premium_2026,median_premium_2026,std_premium_2026,p10_premium_2026,p90_premium_2026,iqr_premium_2026,n_insurers_2026,premium_increase_pct,n_insurers_change,sa_estimated,sa_count_est
1,Aeugst am Albis,ZH,ZH_H3,3,5.534179690270021,252.2,0.0,28.9,38.2,13.2,13.9,5.8,19.7,67.1,1.2,23.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
2,Affoltern am Albis,ZH,ZH_H3,3,7.104472716059824,1216.4,1.0,36.3,32.9,12.6,12.4,5.8,18.2,69.19999999999999,2.4,314.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
3,Bonstetten,ZH,ZH_H3,3,6.646130740849646,768.8,0.0,30.0,33.5,14.6,17.3,4.6,21.9,63.5,1.0,57.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
4,Hausen am Albis,ZH,ZH_H3,3,5.675040005790547,290.5,0.0,30.8,35.2,12.9,14.4,6.6,21.0,66.0,1.3,51.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
5,Hedingen,ZH,ZH_H3,3,6.419832048433451,612.9,0.0,28.9,35.1,14.2,15.6,6.1,21.7,64.0,1.2,47.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
6,Kappel am Albis,ZH,ZH_H3,3,5.167639042905921,174.5,0.0,27.0,34.3,12.5,18.0,8.3,26.3,61.3,0.8,10.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
7,Knonau,ZH,ZH_H3,3,5.945682354452854,381.1,0.0,25.5,34.8,14.1,17.8,7.8,25.6,60.3,0.9,23.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
8,Maschwanden,ZH,ZH_H3,3,4.9788005705762375,144.3,0.0,28.4,39.4,12.8,12.8,6.6,19.4,67.8,1.5,0.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
9,Mettmenstetten,ZH,ZH_H3,3,6.094246741751008,442.3,0.0,27.3,34.6,13.7,16.9,7.6,24.5,61.900000000000006,1.5,83.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
10,Obfelden,ZH,ZH_H3,3,6.67405621372841,790.6,0.0,29.3,34.7,13.0,16.5,6.4,22.9,64.0,2.1,126.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
11,Ottenbach,ZH,ZH_H3,3,6.385531610263777,592.2,0.0,28.8,36.9,13.8,15.0,5.5,20.5,65.7,2.1,61.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
12,Rifferswil,ZH,ZH_H3,3,5.205653681684617,181.3,0.0,28.4,33.8,12.9,17.4,7.5,24.9,62.199999999999996,1.0,11.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
13,Stallikon,ZH,ZH_H3,3,5.787510690186913,325.2,0.0,26.1,37.1,14.4,17.2,5.2,22.4,63.2,0.7,29.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
14,Wettswil am Albis,ZH,ZH_H3,3,7.256014913319522,1415.6,1.0,26.8,34.6,15.6,18.1,5.0,23.1,61.400000000000006,1.3,68.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
22,Benken (ZH),ZH,ZH_H3,3,5.056245805348308,156.0,0.0,32.3,36.2,10.6,13.5,7.4,20.9,68.5,1.0,8.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
23,Berg am Irchel,ZH,ZH_H3,3,4.442651256490317,84.0,0.0,28.9,43.7,11.0,10.6,5.7,16.3,72.6,2.2,13.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
24,Buch am Irchel,ZH,ZH_H3,3,4.657762636107262,104.4,0.0,24.2,38.2,15.4,15.2,6.9,22.1,62.400000000000006,1.5,0.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
25,Dachsen,ZH,ZH_H3,3,6.571303042160927,713.3,0.0,27.9,39.5,11.9,14.9,5.8,20.7,67.4,1.6,32.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
26,Dorf,ZH,ZH_H3,3,4.882044059723269,130.9,0.0,25.7,35.6,15.8,19.1,3.6,22.700000000000003,61.3,1.5,0.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
27,Feuerthalen,ZH,ZH_H3,3,7.34768622397158,1551.6,1.0,36.5,33.1,13.6,11.8,5.0,16.8,69.6,1.9,72.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
28,Flaach,ZH,ZH_H3,3,4.996536369716754,146.9,0.0,32.7,36.0,14.0,10.4,6.9,17.3,68.7,2.3,34.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
29,Flurlingen,ZH,ZH_H3,3,6.444290226575984,628.1,0.0,29.1,37.2,13.6,14.3,5.7,20.0,66.30000000000001,0.7,11.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
31,Henggart,ZH,ZH_H3,3,6.651959395392677,773.3,0.0,27.1,36.1,15.7,14.8,6.3,21.1,63.2,1.2,28.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
33,Kleinandelfingen,ZH,ZH_H3,3,5.3867860145356445,217.5,0.0,29.5,38.2,13.0,13.3,6.1,19.4,67.7,1.7,38.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
34,Laufen-Uhwiesen,ZH,ZH_H3,3,5.677096209393695,291.1,0.0,35.1,38.1,10.7,12.2,3.9,16.099999999999998,73.2,1.8,33.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
35,Marthalen,ZH,ZH_H3,3,4.954417614098027,140.8,0.0,32.7,35.9,11.5,13.3,6.6,19.9,68.6,1.3,25.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
37,Ossingen,ZH,ZH_H3,3,4.950177325059141,140.2,0.0,30.6,35.5,13.1,14.0,6.8,20.8,66.1,1.3,23.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
38,Rheinau,ZH,ZH_H3,3,5.001258132283659,147.6,0.0,37.3,34.9,10.8,10.6,6.3,16.9,72.19999999999999,1.8,24.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
39,Thalheim an der Thur,ZH,ZH_H3,3,5.055608659738987,155.9,0.0,27.1,39.4,10.4,15.5,7.7,23.2,66.5,1.4,14.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
40,Trüllikon,ZH,ZH_H3,3,4.757891273005756,115.5,0.0,29.8,42.2,10.9,10.3,6.8,17.1,72.0,1.0,11.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
41,Truttikon,ZH,ZH_H3,3,4.653007515402251,103.9,0.0,24.1,40.6,11.2,18.2,5.9,24.1,64.7,1.5,0.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
43,Volken,ZH,ZH_H3,3,4.79081953287472,119.4,0.0,31.5,33.3,16.0,11.1,8.0,19.1,64.8,3.1,12.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
51,Bachenbülach,ZH,ZH_H3,3,6.903144666424454,994.4,0.0,31.4,34.3,13.5,13.9,7.0,20.9,65.69999999999999,3.0,128.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
52,Bassersdorf,ZH,ZH_H3,3,7.217590156075051,1362.2,1.0,30.2,34.5,14.7,14.4,6.1,20.5,64.7,1.8,224.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
53,Bülach,ZH,ZH_H3,3,7.3292249612320175,1523.2,1.0,33.0,33.6,13.8,13.6,6.0,19.6,66.6,1.3,323.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
54,Dietlikon,ZH,ZH_H2,2,7.544173365295993,1888.7,1.0,34.5,34.3,12.7,13.1,5.4,18.5,68.8,2.1,171.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,0,0
55,Eglisau,ZH,ZH_H3,3,6.454726753942363,634.7,0.0,27.9,35.9,14.1,16.5,5.6,22.1,63.8,1.6,90.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
56,Embrach,ZH,ZH_H3,3,6.705761486390662,816.1,0.0,31.8,32.7,14.4,13.7,7.3,21.0,64.5,1.9,197.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
57,Freienstein-Teufen,ZH,ZH_H3,3,5.64685932725658,282.4,0.0,27.0,41.8,12.6,12.4,6.2,18.6,68.8,1.1,26.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
58,Glattfelden,ZH,ZH_H3,3,6.094697801749634,442.5,0.0,30.9,33.9,15.2,14.1,5.9,20.0,64.8,1.6,84.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
59,Hochfelden,ZH,ZH_H3,3,5.791793351978915,326.6,0.0,27.1,36.1,14.7,14.8,7.2,22.0,63.2,0.7,13.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
60,Höri,ZH,ZH_H3,3,6.613518437559682,744.1,0.0,27.4,33.0,15.4,15.8,8.4,24.200000000000003,60.4,1.8,62.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
61,Hüntwangen,ZH,ZH_H3,3,5.4107527958778245,222.8,0.0,27.9,38.0,13.7,15.2,5.2,20.4,65.9,0.6,7.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
62,Kloten,ZH,ZH_H2,2,7.03852034886169,1138.7,1.0,39.7,31.6,13.3,10.7,4.7,15.399999999999999,71.30000000000001,3.5,738.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,0,0
63,Lufingen,ZH,ZH_H3,3,6.308644740348575,548.3,0.0,26.3,33.8,16.9,17.0,6.0,23.0,60.099999999999994,0.5,14.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
64,Nürensdorf,ZH,ZH_H3,3,6.361475174231744,578.1,0.0,32.1,36.3,13.8,13.3,4.5,17.8,68.4,1.1,63.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
65,Oberembrach,ZH,ZH_H3,3,4.7104306966455844,110.1,0.0,33.8,38.7,10.5,13.2,3.8,17.0,72.5,0.7,8.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
66,Opfikon,ZH,ZH_H2,2,8.257593103091413,3855.8,1.0,39.5,28.8,13.3,11.9,6.5,18.4,68.3,3.5,763.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,1,1
67,Rafz,ZH,ZH_H3,3,6.10367653771491,446.5,0.0,31.6,35.9,12.8,13.7,5.8,19.5,67.5,0.9,43.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
68,Rorbas,ZH,ZH_H3,3,6.519884479274924,677.5,0.0,29.2,30.7,14.9,16.0,9.1,25.1,59.9,2.9,86.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
69,Wallisellen,ZH,ZH_H2,2,7.9259164432526195,2767.1,1.0,36.3,33.4,13.2,12.4,4.7,17.1,69.69999999999999,1.6,276.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,0,0
70,Wasterkingen,ZH,ZH_H3,3,5.017279836814924,150.0,0.0,33.0,40.2,11.2,10.1,5.4,15.5,73.2,0.0,0.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
71,Wil (ZH),ZH,ZH_H3,3,5.175019150203543,175.8,0.0,27.5,36.3,14.0,14.2,8.0,22.2,63.8,0.5,8.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
72,Winkel,ZH,ZH_H3,3,6.442699389460335,627.1,0.0,30.3,39.7,14.1,12.1,3.8,15.899999999999999,70.0,1.0,48.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
81,Bachs,ZH,ZH_H3,3,4.321480134805848,74.3,0.0,27.1,36.1,18.4,13.5,4.9,18.4,63.2,1.5,0.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
82,Boppelsen,ZH,ZH_H3,3,5.888323788188469,359.8,0.0,27.5,35.5,16.2,16.5,4.3,20.8,63.0,0.5,7.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
83,Buchs (ZH),ZH,ZH_H3,3,7.062020237993567,1165.8,1.0,32.4,33.1,13.5,15.4,5.6,21.0,65.5,1.6,106.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
84,Dällikon,ZH,ZH_H3,3,6.898916330314933,990.2,0.0,29.7,33.9,15.6,14.5,6.2,20.7,63.599999999999994,2.8,125.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
85,Dänikon,ZH,ZH_H3,3,6.47881681468833,650.2,0.0,29.0,34.5,15.6,16.4,4.5,20.9,63.5,1.0,18.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
86,Dielsdorf,ZH,ZH_H3,3,7.044643531044259,1145.7,1.0,33.9,33.6,13.7,13.2,5.6,18.799999999999997,67.5,1.7,108.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
87,Hüttikon,ZH,ZH_H3,3,6.401751345495359,601.9,0.0,23.8,33.6,14.6,19.2,8.7,27.9,57.400000000000006,1.5,0.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
88,Neerach,ZH,ZH_H3,3,6.313548046277095,551.0,0.0,29.3,42.7,12.0,12.1,3.8,15.899999999999999,72.0,1.0,33.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
89,Niederglatt,ZH,ZH_H3,3,7.333480426097662,1529.7,1.0,33.1,33.6,13.7,14.2,5.4,19.6,66.7,1.2,65.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
90,Niederhasli,ZH,ZH_H3,3,6.750867523444993,853.8,0.0,29.3,32.2,15.7,16.4,6.3,22.7,61.5,2.0,191.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
91,Niederweningen,ZH,ZH_H3,3,6.194201288644529,488.9,0.0,27.6,32.7,17.3,16.1,6.2,22.3,60.300000000000004,0.9,28.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
92,Oberglatt,ZH,ZH_H3,3,6.8491723215498395,942.1,0.0,34.8,29.3,13.9,13.7,8.3,22.0,64.1,2.2,168.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
93,Oberweningen,ZH,ZH_H3,3,5.95739056677423,385.6,0.0,26.5,38.3,15.7,14.7,4.7,19.4,64.8,1.2,23.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
94,Otelfingen,ZH,ZH_H3,3,6.016157159698354,409.0,0.0,26.0,35.4,15.8,16.6,6.3,22.900000000000002,61.4,0.6,18.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
95,Regensberg,ZH,ZH_H3,3,5.311727053457954,201.7,0.0,40.6,34.1,10.5,9.2,5.7,14.899999999999999,74.7,1.5,0.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
96,Regensdorf,ZH,ZH_H2,2,7.235835256040756,1387.3,1.0,34.8,32.8,13.3,12.9,6.2,19.1,67.6,2.5,494.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,0,0
97,Rümlang,ZH,ZH_H2,2,6.500087747318773,664.2,0.0,34.9,31.4,12.8,14.4,6.5,20.9,66.3,1.6,131.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,0,0
98,Schleinikon,ZH,ZH_H3,3,5.035653057071544,152.8,0.0,27.1,40.8,11.1,18.0,2.9,20.9,67.9,1.5,0.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
99,Schöfflisdorf,ZH,ZH_H3,3,5.8667513029343406,352.1,0.0,35.4,36.3,12.0,12.2,4.2,16.4,71.69999999999999,1.1,15.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
100,Stadel,ZH,ZH_H3,3,5.2548878086207,190.5,0.0,32.5,36.0,13.0,13.5,5.0,18.5,68.5,1.0,24.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
101,Steinmaur,ZH,ZH_H3,3,5.983180327520285,395.7,0.0,32.8,35.5,12.8,13.0,6.0,19.0,68.3,0.9,32.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
102,Weiach,ZH,ZH_H3,3,5.4053764388414445,221.6,0.0,32.4,35.1,13.4,12.6,6.4,19.0,67.5,2.1,44.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
111,Bäretswil,ZH,ZH_H3,3,5.4510384535657,232.0,0.0,29.6,37.2,12.6,13.8,6.8,20.6,66.80000000000001,1.2,60.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
112,Bubikon,ZH,ZH_H3,3,6.493602542476407,659.9,0.0,28.7,36.9,12.6,15.7,6.0,21.7,65.6,1.2,90.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
113,Dürnten,ZH,ZH_H3,3,6.670132406403093,787.5,0.0,31.2,35.3,12.2,14.2,7.0,21.2,66.5,2.9,228.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
114,Fischenthal,ZH,ZH_H3,3,4.490881039585964,88.2,0.0,30.6,35.4,13.4,13.7,6.8,20.5,66.0,1.3,33.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
115,Gossau (ZH),ZH,ZH_H3,3,6.366126746061101,580.8,0.0,32.5,35.0,12.8,13.8,5.9,19.700000000000003,67.5,1.5,162.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
116,Grüningen,ZH,ZH_H3,3,6.093795478205444,442.1,0.0,32.6,35.9,12.0,14.2,5.3,19.5,68.5,0.8,30.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
117,Hinwil,ZH,ZH_H3,3,6.287486743834764,536.8,0.0,32.7,36.1,12.9,12.6,5.7,18.3,68.80000000000001,2.1,249.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
118,Rüti (ZH),ZH,ZH_H3,3,7.162707526810999,1289.4,1.0,38.5,32.0,11.2,12.4,5.9,18.3,70.5,3.1,397.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
119,Seegräben,ZH,ZH_H3,3,5.961778236737621,387.3,0.0,30.5,36.7,13.5,13.2,6.2,19.4,67.2,1.6,23.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
120,Wald (ZH),ZH,ZH_H3,3,6.043345168984971,420.3,0.0,35.7,33.4,12.0,12.3,6.7,19.0,69.1,2.1,220.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
121,Wetzikon (ZH),ZH,ZH_H3,3,7.381377353750584,1604.8,1.0,35.7,32.5,13.0,13.0,5.7,18.7,68.2,2.8,753.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
131,Adliswil,ZH,ZH_H2,2,7.848231177644647,2560.2,1.0,37.5,31.6,13.7,13.1,4.1,17.2,69.1,2.7,540.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,1,1
135,Kilchberg (ZH),ZH,ZH_H2,2,8.209743691048772,3675.6,1.0,35.6,30.7,15.4,13.6,4.6,18.2,66.3,1.2,116.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,0,0
136,Langnau am Albis,ZH,ZH_H3,3,6.8560408432954585,948.6,0.0,32.2,31.9,14.2,16.1,5.7,21.8,64.1,1.6,131.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
137,Oberrieden,ZH,ZH_H3,3,7.567138829389274,1932.6,1.0,34.6,33.9,13.9,13.1,4.5,17.6,68.5,1.0,53.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
138,Richterswil,ZH,ZH_H2,2,7.555067923198283,1909.4,1.0,33.5,33.9,12.6,14.8,5.2,20.0,67.4,2.3,325.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,0,0
139,Rüschlikon,ZH,ZH_H3,3,7.690423185480494,2186.3,1.0,30.2,32.4,15.3,16.3,5.8,22.1,62.599999999999994,0.8,53.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
141,Thalwil,ZH,ZH_H2,2,8.119964074232787,3359.9,1.0,37.1,32.4,13.3,13.5,3.7,17.2,69.5,1.3,240.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,0,0
151,Erlenbach (ZH),ZH,ZH_H2,2,7.552657146914088,1904.8,1.0,32.5,34.2,14.0,13.8,5.5,19.3,66.7,1.1,61.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,0,0
152,Herrliberg,ZH,ZH_H2,2,6.626982614831291,754.2,0.0,31.8,33.1,14.2,15.6,5.3,20.9,64.9,0.7,44.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,0,0
153,Hombrechtikon,ZH,ZH_H2,2,6.624994410849424,752.7,0.0,33.7,34.4,12.6,14.2,5.1,19.299999999999997,68.1,1.8,158.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,0,0
154,Küsnacht (ZH),ZH,ZH_H2,2,7.113304961895299,1227.2,1.0,35.0,31.6,13.7,14.5,5.2,19.7,66.6,1.2,180.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,0,0
155,Männedorf,ZH,ZH_H2,2,7.811122865565802,2466.9,1.0,33.4,34.0,14.2,14.0,4.4,18.4,67.4,1.6,189.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,0,0
156,Meilen,ZH,ZH_H2,2,7.126569472135118,1243.6,1.0,33.5,33.2,13.6,14.9,4.7,19.6,66.7,1.1,159.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,0,0
157,Oetwil am See,ZH,ZH_H2,2,6.738034004163921,842.9,0.0,34.5,32.1,13.2,13.9,6.2,20.1,66.6,1.6,83.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,0,0
158,Stäfa,ZH,ZH_H2,2,7.47584931053852,1763.9,1.0,35.1,35.5,12.5,12.7,4.2,16.9,70.6,1.5,220.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,0,0
159,Uetikon am See,ZH,ZH_H2,2,7.563563973886715,1925.7,1.0,29.6,34.4,14.4,15.7,5.8,21.5,64.0,1.2,75.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,0,0
160,Zumikon,ZH,ZH_H2,2,6.957497370876951,1050.0,1.0,32.8,31.2,15.1,15.1,5.9,21.0,64.0,1.2,72.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,0,0
161,Zollikon,ZH,ZH_H2,2,7.456685608781673,1730.4,1.0,36.9,31.4,13.4,13.3,5.0,18.3,68.3,1.2,166.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,0,0
172,Fehraltorf,ZH,ZH_H3,3,6.59002628517806,726.8,0.0,29.4,35.3,14.0,16.0,5.3,21.3,64.69999999999999,1.4,93.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
173,Hittnau,ZH,ZH_H3,3,5.728800237631489,306.6,0.0,30.9,35.5,12.6,14.9,6.1,21.0,66.4,1.0,38.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
176,Lindau,ZH,ZH_H3,3,6.195832943095858,489.7,0.0,26.1,37.0,14.7,15.5,6.6,22.1,63.1,1.3,79.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
177,Pfäffikon,ZH,ZH_H3,3,6.483413115104284,653.2,0.0,35.5,35.2,12.3,12.2,4.7,16.9,70.7,1.5,188.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
178,Russikon,ZH,ZH_H3,3,5.790265934544339,326.1,0.0,26.7,37.3,14.0,15.7,6.3,22.0,64.0,1.0,44.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
180,Weisslingen,ZH,ZH_H3,3,5.612763076269032,272.9,0.0,28.8,34.8,15.0,16.2,5.2,21.4,63.599999999999994,1.7,60.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
181,Wila,ZH,ZH_H3,3,5.44198471636045,229.9,0.0,34.7,32.8,14.5,10.9,7.1,18.0,67.5,1.7,35.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
182,Wildberg,ZH,ZH_H3,3,4.572646994282532,95.8,0.0,28.7,35.9,12.8,15.0,7.6,22.6,64.6,1.0,10.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
191,Dübendorf,ZH,ZH_H2,2,7.780052325170402,2391.4,1.0,38.6,32.8,13.4,11.3,4.1,15.4,71.4,1.7,521.0,543.3,563.9,565.2,33.9,517.7,611.5,46.1,27.0,3.79,-2.0,0,0
