bfs_nr,commune_ofs,canton,join_key,premium_region,log_pop_density,pop_density_2024,is_urban,pct_hh_1p,pct_hh_2p,pct_hh_3p,pct_hh_4p,pct_hh_5p_plus,pct_large_hh,pct_small_hh,social_assistance_rate,social_assistance_count,avg_premium_2025,avg_premium_2026,median_premium_2026,std_premium_2026,p10_premium_2026,p90_premium_2026,iqr_premium_2026,n_insurers_2026,premium_increase_pct,n_insurers_change,sa_estimated,sa_count_est
5763,Valeyres-sous-Rances,VD,VD_H2,2,4.523960130562548,91.2,0.0,22.4,38.0,16.9,19.4,3.4,22.799999999999997,60.4,1.8,11.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5764,Vallorbe,VD,VD_H2,2,5.232177564043492,186.2,0.0,41.6,28.2,12.9,10.2,7.0,17.2,69.8,8.7,356.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5765,Vaulion,VD,VD_H2,2,3.6402142821326553,37.1,0.0,37.4,35.7,12.6,8.3,6.1,14.4,73.1,3.7,18.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5766,Vuiteboeuf,VD,VD_H2,2,4.797442073635214,120.2,0.0,30.6,31.0,15.1,16.3,7.1,23.4,61.6,2.2,13.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5785,Corcelles-le-Jorat,VD,VD_H2,2,4.155753190350744,62.8,0.0,34.7,33.8,11.4,12.3,7.8,20.1,68.5,1.9,10.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5790,Maracon,VD,VD_H2,2,4.874433672915854,129.9,0.0,31.1,31.1,17.4,13.3,7.1,20.4,62.2,2.1,12.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5792,Montpreveyres,VD,VD_H2,2,5.076423034634259,159.2,0.0,29.7,29.7,17.5,16.4,6.7,23.099999999999998,59.4,1.5,0.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5798,Ropraz,VD,VD_H2,2,4.711330381816482,110.2,0.0,31.6,33.3,12.0,16.4,6.7,23.099999999999998,64.9,1.8,10.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5799,Servion,VD,VD_H2,2,5.867883485336628,352.5,0.0,26.7,29.3,18.3,20.1,5.7,25.8,56.0,3.0,65.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5803,Vulliens,VD,VD_H2,2,4.5612182984589085,94.7,0.0,28.5,32.4,14.1,17.2,7.8,25.0,60.9,2.6,17.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
